商品ID,label_reference_title,一级标签,二级标签,order_line_count,attributed_order_count,sku_count,item_quantity,attributed_payment_amount,zero_payment_line_count,active_days,invalid_order_count,non_invalid_order_count,mixed_status_order_count,classified_order_count,invalid_order_rate,zero_payment_line_rate,attributed_payment_amount_per_active_day,attributed_payment_amount_share,scale_threshold_amount,risk_threshold_rate,scale_risk_quadrant
8415498144485,VITA益生菌大人调理肠胃成人男/女性益生元软糖50粒肠道益生菌,益生菌,益生菌,13699,13674,1,13895,2315371.14,0,108,738,12931,5,13669,0.05399078206159924,0.0,21438.62166666667,0.5685391495660108,1870.85,0.06860881643394985,high_scale_low_risk
8391485512245,VITA睡眠糖褪黑素软糖安瓶助眠sleepwell退黑色素睡眠片睡眠软糖,睡眠,睡眠,7562,7561,1,8043,804955.803,0,186,598,6857,106,7455,0.08021462105969149,0.0,4327.719370967741,0.1976568161231574,1870.85,0.06860881643394985,high_scale_high_risk
8389050710094,VITA褪黑素睡眠软糖5mg深度睡眠安瓶助眠软糖50粒褪黑素软糖,睡眠,睡眠,2454,2454,1,2563,304427.77,0,152,206,2223,25,2429,0.08480856319473035,0.0,2002.8142763157896,0.07475220817517711,1870.85,0.06860881643394985,high_scale_high_risk
8400562332581,vita免疫防御益生菌益生元软糖原装正品30粒,益生菌,益生菌,1312,1312,1,1368,201009.35,0,118,119,1174,19,1293,0.0920340293890178,0.0,1703.4690677966103,0.04935782558981737,1870.85,0.06860881643394985,high_scale_high_risk
8389562244648,VITA元气舒压stress 软糖缓解压力心情草莓柠檬口味42粒,舒压,舒压,1384,1384,1,1441,161294.12,0,124,105,1243,36,1348,0.07789317507418397,0.0,1300.7590322580645,0.03960575487470147,1870.85,0.06860881643394985,high_scale_high_risk
8389801605463,VITA复合维生素ce女性综合叶酸生物素矿物质营养软糖90粒,女士维生素,女士维生素,493,492,1,526,59600.35,0,130,44,415,33,459,0.09586056644880174,0.0,458.46423076923077,0.014634859922645746,1870.85,0.06860881643394985,high_scale_high_risk
8389305835308,VITA清澈美肌软糖美肤美容维生素AE软糖21年8月到期,美容,美容,220,220,1,222,33621.05,0,98,13,191,16,204,0.06372549019607843,0.0,343.07193877551026,0.008255645431650466,1870.85,0.06860881643394985,high_scale_low_risk
8389801353542,VITA胶原蛋白水果糖skin亮肤紧致透明质酸蛋白质蓝莓味软糖,美容,美容,138,138,1,141,19989.32,0,86,6,117,15,123,0.04878048780487805,0.0,232.43395348837208,0.004908375507005262,1870.85,0.06860881643394985,high_scale_low_risk
8390650804296,VITA睡眠软糖助眠安神褪黑素软糖神经酰胺补水美颜软糖40粒,睡眠,睡眠,162,162,1,168,18789.49,0,57,19,122,21,141,0.1347517730496454,0.0,329.64017543859654,0.004613757371692499,1870.85,0.06860881643394985,high_scale_high_risk
8396116081116,VITA儿童复合维生素益生菌碘&amp;锌软糖调理肠胃免疫力原装70粒,儿童维生素,儿童维生素,82,81,1,84,12645.94,0,57,3,76,2,79,0.0379746835443038,0.0,221.85859649122807,0.003105209289713613,1870.85,0.06860881643394985,high_scale_low_risk
8415623853169,VITA复合维生素ce男性综合辅酶Q10生物素矿物质营养软糖90粒,男士维生素,男士维生素,63,63,1,71,11961.3,0,42,7,56,0,63,0.1111111111111111,0.0,284.79285714285714,0.0029370960068647676,1870.85,0.06860881643394985,high_scale_high_risk
