一级标签,二级标签,order_line_count,attributed_order_count,sku_count,item_quantity,attributed_payment_amount,zero_payment_line_count,active_days,invalid_order_count,non_invalid_order_count,mixed_status_order_count,classified_order_count,invalid_order_rate,zero_payment_line_rate,attributed_payment_amount_per_active_day,attributed_payment_amount_share,scale_threshold_amount,risk_threshold_rate,scale_risk_quadrant
益生菌,益生菌,15014,14986,3,15266,2516530.49,0,151,856,14106,24,14962,0.057211602726908166,0.0,16665.764834437086,0.6179338076406776,5306.46,0.06860881643394985,high_scale_low_risk
睡眠,睡眠,12597,12338,13,13257,1140424.223,2184,190,920,11255,163,12175,0.075564681724846,0.17337461300309598,6002.232752631579,0.2800310527706148,5306.46,0.06860881643394985,high_scale_high_risk
舒压,舒压,1665,1632,6,1737,163825.65,221,154,118,1401,113,1519,0.07768268597761685,0.13273273273273273,1063.802922077922,0.04022737181050764,5306.46,0.06860881643394985,high_scale_high_risk
美容,美容,531,493,13,540,71630.12,77,132,31,420,42,451,0.06873614190687362,0.14500941619585686,542.6524242424242,0.01758876873109479,5306.46,0.06860881643394985,high_scale_high_risk
女士维生素,女士维生素,566,563,4,604,69164.83,7,144,47,479,37,526,0.08935361216730038,0.012367491166077738,480.31131944444445,0.016983417020598135,5306.46,0.06860881643394985,high_scale_high_risk
通用维生素,通用维生素,249,246,5,270,37987.68,0,115,21,199,26,220,0.09545454545454546,0.0,330.32765217391307,0.009327870987104796,5306.46,0.06860881643394985,high_scale_high_risk
儿童维生素,儿童维生素,103,97,3,105,16261.02,0,64,4,88,5,92,0.043478260869565216,0.0,254.0784375,0.003992891818577255,5306.46,0.06860881643394985,high_scale_low_risk
男士维生素,男士维生素,63,63,1,71,11961.3,0,42,7,56,0,63,0.1111111111111111,0.0,284.79285714285714,0.002937096006864767,5306.46,0.06860881643394985,high_scale_high_risk
专注力,专注力,88,88,2,90,10696.65,0,54,4,71,13,75,0.05333333333333334,0.0,198.0861111111111,0.002626561327099062,5306.46,0.06860881643394985,high_scale_low_risk
睡眠两瓶装,睡眠两瓶装,30,26,1,31,6290.88,0,25,1,25,0,26,0.038461538461538464,0.0,251.6352,0.0015447249485980143,5306.46,0.06860881643394985,high_scale_low_risk
睡眠+其它,睡眠+舒压,44,44,1,46,5727.59,0,26,5,39,0,44,0.11363636363636363,0.0,220.29192307692307,0.0014064091459923733,5306.46,0.06860881643394985,high_scale_high_risk
专注力+其它,专注力+舒压,20,20,2,20,5306.46,0,15,0,19,1,19,0.0,0.0,353.764,0.00130300071702805,5306.46,0.06860881643394985,high_scale_low_risk
睡眠+其它,睡眠+女士维生素,20,19,1,20,4619.54,0,16,4,13,2,17,0.23529411764705882,0.0,288.72125,0.001134327580409493,5306.46,0.06860881643394985,low_scale_high_risk
女士维生素两瓶装,女士维生素两瓶装,11,11,1,12,2662.87,0,11,0,10,1,10,0.0,0.0,242.0790909090909,0.0006538674595403495,5306.46,0.06860881643394985,low_scale_low_risk
睡眠+其它,睡眠+益生菌,10,7,1,10,2204.29,0,6,0,7,0,7,0.0,0.0,367.38166666666666,0.0005412631868586139,5306.46,0.06860881643394985,low_scale_low_risk
女士维生素+其它,女士维生素+益生菌,12,7,1,12,2053.7799999999997,0,5,0,7,0,7,0.0,0.0,410.756,0.0005043054715606766,5306.46,0.06860881643394985,low_scale_low_risk
益生菌+其它,益生菌+女士维生素+美容,3,3,1,3,1516.32,0,3,1,2,0,3,0.3333333333333333,0.0,505.44,0.0003723322228461107,5306.46,0.06860881643394985,low_scale_high_risk
舒压+其它,舒压+睡眠+女士维生素,3,3,1,3,1196.77,0,3,0,3,0,3,0.0,0.0,398.92333333333335,0.00029386675262183437,5306.46,0.06860881643394985,low_scale_low_risk
睡眠+其它,睡眠+舒压+益生菌,2,2,1,2,977.5699999999999,0,2,0,2,0,2,0.0,0.0,488.78499999999997,0.0002400422147618395,5306.46,0.06860881643394985,low_scale_low_risk
睡眠+其它,睡眠+舒压+女士维生素+美容,2,2,1,2,919.2,0,2,0,2,0,2,0.0,0.0,459.6,0.0002257094671574239,5306.46,0.06860881643394985,low_scale_low_risk
睡眠+其它,睡眠+美容,1,1,1,1,401.88,0,1,0,1,0,1,0.0,0.0,401.88,9.868159340864393e-05,5306.46,0.06860881643394985,low_scale_low_risk
女士维生素+其它,女士维生素+睡眠,1,1,1,1,131.89,0,1,0,1,0,1,0.0,0.0,131.89,3.238557617862558e-05,5306.46,0.06860881643394985,low_scale_low_risk
优惠券,优惠券,1,1,1,1,1.0,0,1,0,1,0,1,0.0,0.0,1.0,2.4554989899632714e-07,5306.46,0.06860881643394985,low_scale_low_risk
